[2021-09-02 11:20:40,845] [PETR4] Valor atual 26.88, variação de 0%  

[2021-09-02 11:20:50,979] [PETR4] Valor atual 26.88, variação de 0%  

[2021-09-02 11:21:01,116] [PETR4] Valor atual 27.02, valorização de 0.5208333333333355%  

[2021-09-02 11:21:11,248] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:21:21,380] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:21:31,514] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:21:41,669] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:21:51,806] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:22:01,938] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:22:12,069] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:22:22,203] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:22:32,331] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:22:42,462] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:22:52,590] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:23:02,726] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:23:12,855] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:23:22,985] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:23:33,120] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:23:43,254] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:23:53,415] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:24:03,547] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:24:13,679] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:24:23,859] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:24:33,991] [PETR4] Valor atual 27.02, variação de 0%  

[2021-09-02 11:24:33,991] [PETR4] Variação da ação no dia de 0.5208333333333355% - valor inicial: R$26.88 - valor final: R$27.02

